Pnumber	MeanLearnSpa1	BlocksinAdap	AdapSuccess	AvgExp	PretestScore	EnglishAoA	SRPEnglish	FreqEnglish	MeanLearnSpa2	Lextale	Group	Difference_Error	Difference_RT
743	95.6521739130435	7	0.804347826086957	10.1739130434783	0.521428571428571	11	6	52.5	2127.60869565217	77	NoConsolidation	0.00652173913043479	590.174154308396
744	100	10	0.782608695652174	11.4782608695652	0.521428571428571	11	5.75	90	1412.17391304348	87	NoConsolidation	0.05	285.71494684652
745	95.6521739130435	2	1	8	0.521428571428571	10	5.5	101.25	1294.78260869565	92	NoConsolidation	0	NA
746	95.6521739130435	6	0.782608695652174	9.73913043478261	0.521428571428571	12	4.5	6	1100.69565217391	68	NoConsolidation	0.05	-136.424964798562
747	91.304347826087	10	0.760869565217391	11.4782608695652	0.521428571428571	10	6.25	75	1536.26086956522	80	NoConsolidation	0.05	-670.071171148313
748	95.6521739130435	3	0.956521739130435	8.43478260869565	0.521428571428571	12	6	35.5	1103.39130434783	86	NoConsolidation	-0.0434782608695652	929.262656524349
749	86.9565217391304	6	0.782608695652174	9.73913043478261	0.521428571428571	12	5.5	30	2563.60869565217	75	NoConsolidation	-0.0434782608695652	635.586709382292
750	100	4	0.934782608695652	8.8695652173913	0.521428571428571	10	4.5	15	1272.4347826087	83	NoConsolidation	-0.0434782608695652	-87.1075920434408
751	95.6521739130435	5	0.934782608695652	9.30434782608696	0.521428571428571	9	6.25	82.5	1271.95652173913	95	Consolidation	0.0909090909090909	89.2175395013737
752	100	3	0.934782608695652	8.43478260869565	0.521428571428571	11	6.25	127.5	2233.4347826087	78	NoConsolidation	0.00197628458498024	671.367102526918
753	100	5	0.847826086956522	9.30434782608696	0.521428571428571	12	6.25	32.5	1835.30434782609	75	Consolidation	-0.0434782608695652	-696.887008826496
754	100	2	1	8	0.521428571428571	12	5	15	965.95652173913	72	NoConsolidation	0	-378.722586131954
755	100	4	0.891304347826087	8.8695652173913	0.521428571428571	10	6	50	1560.5652173913	76	Consolidation	0.05	444.542283367174
756	100	2	1	8	0.521428571428571	10	5.25	67.5	725.652173913043	85	Consolidation	0	-75.3188116427062
757	100	2	1	8	0.521428571428571	9	6.25	75	884	73	Consolidation	0.0434782608695652	270.793274348743
758	100	11	0.673913043478261	12	0.521428571428571	10	4.5	30	1815.86956521739	51	Consolidation	0	-379.078429266166
759	95.6521739130435	23	0.5	17.3478260869565	0.521428571428571	12	5.25	25	1938.39130434783	71	Consolidation	0	-10.4816230418854
760	95.6521739130435	8	0.826086956521739	10.6086956521739	0.521428571428571	10	6	56.25	1241.95652173913	53	Consolidation	0.1	-110.063808750392
761	100	9	0.760869565217391	11.0434782608696	0.521428571428571	10	5	53.75	1356.60869565217	71	Consolidation	0	487.95106835978
762	100	9	0.804347826086957	11.0434782608696	0.521428571428571	13	4.25	83	1808.82608695652	83	Consolidation	-0.0434782608695652	593.474399033203
763	95.6521739130435	4	0.956521739130435	8.8695652173913	0.521428571428571	9	4.5	128.75	1403.4347826087	62	Consolidation	0	864.115875752059
764	100	16	0.58695652173913	14.1304347826087	0.521428571428571	11	5.5	87.5	1587.52173913043	67	Consolidation	-0.0454545454545455	-424.825064138281
765	95.6521739130435	4	0.826086956521739	8.8695652173913	0.521428571428571	12	6	150	1081	86	Consolidation	0	-123.160529445299
766	95.6521739130435	6	0.673913043478261	9.73913043478261	0.521428571428571	13	5.75	90	1636.65217391304	77	Consolidation	0	509.739354743068
767	95.6521739130435	5	0.91304347826087	9.30434782608696	0.521428571428571	10	5.25	95	1603.08695652174	55	Consolidation	0.0454545454545455	841.257987163117
768	100	5	0.91304347826087	9.30434782608696	0.521428571428571	12	5.25	77.5	1994.47826086957	66	Consolidation	-0.0434782608695652	-1769.30859291988
769	100	4	0.869565217391304	8.8695652173913	0.521428571428571	12	5	150	2399.91304347826	62	Consolidation	0	828.534950745465
771	100	2	1	8	0.521428571428571	10	6.5	75	1088.73913043478	83	NoConsolidation	0.05	292.219621551208
772	100	5	0.826086956521739	9.30434782608696	0.521428571428571	11	5.25	117.5	1064.4347826087	73	NoConsolidation	0	518.128422146951
773	100	17	0.5	14.7826086956522	0.521428571428571	12	5.75	90	2069.17391304348	70	NoConsolidation	0.05175983436853	196.052816358294
774	100	8	0.91304347826087	10.6086956521739	0.521428571428571	12	5.75	77.5	1151.78260869565	91	NoConsolidation	-0.0869565217391304	834.313559625323
776	95.6521739130435	9	0.847826086956522	11.0434782608696	0.521428571428571	10	4.75	42.5	1554.5652173913	48	NoConsolidation	-0.0434782608695652	NA
777	100	3	0.934782608695652	8.43478260869565	0.521428571428571	12	6	90	926.521739130435	72	NoConsolidation	0	69.8908475195795
778	91.304347826087	14	0.434782608695652	13.5217391304348	0.521428571428571	10	5.5	82.5	3282.17391304348	77	NoConsolidation	-0.0434782608695652	739.836758313609
779	86.9565217391304	5	0.826086956521739	9.30434782608696	0.521428571428571	8	5.25	42.5	1776.78260869565	86	NoConsolidation	0	1130.43893254926
780	100	4	0.934782608695652	8.8695652173913	0.521428571428571	12	5.75	15	1227.4347826087	73	NoConsolidation	0.0454545454545455	-220.634976246073
781	95.6521739130435	11	0.673913043478261	11.9130434782609	0.521428571428571	11	5.25	210	1926	77	NoConsolidation	0	665.933455739324
782	100	5	0.91304347826087	9.30434782608696	0.521428571428571	11	6.5	25	1003.39130434783	81	NoConsolidation	-0.0434782608695652	244.585887963145
783	91.304347826087	14	0.608695652173913	13.304347826087	0.521428571428571	12	4	64	1260.52173913043	52	NoConsolidation	0.0476190476190476	-540.579337555741
784	100	25	0.478260869565217	18.304347826087	0.521428571428571	12	2.5	32.5	686.695652173913	60	NoConsolidation	0.0909090909090909	415.975874343221
785	91.304347826087	9	0.739130434782609	11.0434782608696	0.521428571428571	8	6.5	63.75	1498.95652173913	81	NoConsolidation	0.0476190476190476	141.645218474723
787	100	8	0.847826086956522	10.6086956521739	0.521428571428571	8	6	33.75	1569.08695652174	63	NoConsolidation	0.0909090909090909	176.774705532595
601	100	16	0.630434782608696	14.0869565217391	0.902912621359223	10	5.25	88.75	1109.69565217391	83	Honours	0	243.706343846829
602	100	9	0.869565217391304	11.0434782608696	0.87378640776699	10	5	62.25	1103.52173913043	80	Honours	0	560.190753732351
603	95.6521739130435	5	0.91304347826087	9.30434782608696	0.893203883495146	8	6	90	2167.86956521739	86	Honours	0	38.0032198622704
604	100	NA	NA	NA	0.902912621359223	11	4.5	15	1809.91304347826	91	Honours	-0.0869565217391304	NA
